allDateTimes,Tmean,Tdew,Tground,RH,AP,u,Rad,Rad_MJm2d,Sunshine,PET,Precipitation_mm_even,Discharge
1/1/2004 0:00,-15.35,-20.16666667,6.02,66.66666667,1023.016667,7.833333333,NaN,NaN,NaN,0,0,NaN
1/1/2004 6:00,-13.6,-20.98333333,6.02,55,1022.733333,10.33333333,NaN,NaN,NaN,0,0,NaN
1/1/2004 12:00,-11.88333333,-20.88333333,6.02,47.33333333,1022.666667,9.833333333,NaN,NaN,NaN,0,0,NaN
1/1/2004 18:00,-9.550000001,-20.98333333,6.02,39.33333333,1022.633333,9.666666666,NaN,NaN,NaN,0,0,NaN
1/2/2004 0:00,-8.15,-21.88333333,6.02,32.33333333,1021.5,10.83333333,NaN,NaN,NaN,0,0,NaN
1/2/2004 6:00,-8.5,-17.78333333,6.02,49.33333333,1019.933333,11.5,NaN,NaN,NaN,0,0,NaN
1/2/2004 12:00,-8.466666667,-12.2,6.02,74.5,1017.366667,12.16666667,NaN,NaN,NaN,0,0,NaN
1/2/2004 18:00,-6.683333333,-9.366666667,6.02,81,1014.283333,9.5,NaN,NaN,NaN,0,0,NaN
1/3/2004 0:00,-6.366666667,-8.283333333,6.02,86.66666667,1011.7,11.5,NaN,NaN,NaN,0,0,NaN
1/3/2004 6:00,-6.366666667,-8.816666667,6.02,82.83333333,1011.35,11.5,NaN,NaN,NaN,0,0,NaN
1/3/2004 12:00,-6.033333333,-8.6,6.02,82,1011.783333,9.333333333,NaN,NaN,NaN,0,0,NaN
1/3/2004 18:00,-6.983333333,-8.366666667,6.02,90,1012.416667,6.166666667,NaN,NaN,NaN,0,0,NaN
1/4/2004 0:00,-7.066666667,-7.966666667,6.02,93,1012.366667,5,NaN,NaN,NaN,0,0,NaN
1/4/2004 6:00,-6.716666667,-7.616666667,6.02,93,1011.75,5.333333333,NaN,NaN,NaN,0,0.666666665,NaN
1/4/2004 12:00,-5.416666667,-6.3,6.02,93.16666667,1010.5,1.833333333,NaN,NaN,NaN,0,2.216666668,NaN
1/4/2004 18:00,-4.45,-5.233333333,6.02,94,1007.35,0,NaN,NaN,NaN,0,3.250000002,NaN
1/5/2004 0:00,-4.516666667,-5.4,6.02,93.16666667,1005.866667,0.5,NaN,NaN,NaN,0,0.566666667,NaN
1/5/2004 6:00,-5.2,-6.9,6.02,87.5,1005.1,0,NaN,NaN,NaN,0,0,NaN
1/5/2004 12:00,-5.566666667,-7.816666667,6.02,84.33333333,1004.733333,1,NaN,NaN,NaN,0,0,NaN
1/5/2004 18:00,-4.9,-7.083333333,6.02,84.66666667,1003.966667,6.666666667,NaN,NaN,NaN,0,0,NaN
1/6/2004 0:00,-5.083333333,-6.05,6.02,93.16666667,1003.6,6.333333333,NaN,NaN,NaN,0,0.916666665,NaN
1/6/2004 6:00,-4.266666667,-5.1,6.02,93.66666667,1002.966667,6.333333333,NaN,NaN,NaN,0,1.766666668,NaN
1/6/2004 12:00,-2.833333333,-3.666666667,6.02,93.66666667,1001.95,2,NaN,NaN,NaN,0,0.316666667,NaN
1/6/2004 18:00,-2.15,-3.633333333,6.02,89.33333333,1000,3.833333333,NaN,NaN,NaN,0,0.083333335,NaN
1/7/2004 0:00,-1.683333333,-2.533333333,6.02,93.83333333,998.0166667,4.833333333,NaN,NaN,NaN,0,2.016666667,NaN
1/7/2004 6:00,-2.583333333,-3.2,6.02,95.83333333,997.95,2.833333333,NaN,NaN,NaN,0,1.566666665,NaN
1/7/2004 12:00,-3.116666667,-3.816666667,6.02,95,998.6166667,5.333333333,NaN,NaN,NaN,0,0.483333333,NaN
1/7/2004 18:00,-2.65,-3.483333333,6.02,94,1000.033333,4.666666667,NaN,NaN,NaN,0,0.05,NaN
1/8/2004 0:00,-2.366666667,-4.116666667,6.02,87.83333333,1000.983333,6.666666667,NaN,NaN,NaN,0,0,NaN
1/8/2004 6:00,-2.616666667,-5.466666667,6.02,80.5,1001.183333,10,NaN,NaN,NaN,0,0,NaN
1/8/2004 12:00,-3.916666667,-6.216666667,6.02,84.16666667,999.6500001,13.33333333,NaN,NaN,NaN,0,0.166666665,NaN
1/8/2004 18:00,-6.75,-8.616666667,6.02,86.16666667,999.2166667,12.66666667,NaN,NaN,NaN,0,0.033333333,NaN
1/9/2004 0:00,-9.1,-11.43333333,6.02,82.83333333,999.9833333,13.16666667,NaN,NaN,NaN,0,0,NaN
1/9/2004 6:00,-13.36666667,-15.75,6.02,82,1002.4,14.66666667,NaN,NaN,NaN,0,0,NaN
1/9/2004 12:00,-15.48333333,-19,6.02,74.5,1005.933333,12,NaN,NaN,NaN,0,0,NaN
1/9/2004 18:00,-16.08333333,-21.23333333,6.02,65,1009.333333,9.833333333,NaN,NaN,NaN,0,0,NaN
1/10/2004 0:00,-15.98333333,-24.63333333,6.02,47.33333333,1011.65,9.333333333,NaN,NaN,NaN,0,0,NaN
1/10/2004 6:00,-15.85,-23.4,6.02,52.5,1012.483333,8,NaN,NaN,NaN,0,0,NaN
1/10/2004 12:00,-15.05,-18.78333333,6.02,74.5,1012.116667,2,NaN,NaN,NaN,0,0,NaN
1/10/2004 18:00,-13.46666667,-15.28333333,6.02,86.16666667,1009.433333,0,NaN,NaN,NaN,0,0.75,NaN
1/11/2004 0:00,-12.85,-14.55,6.02,87.66666667,1006.116667,5.666666667,NaN,NaN,NaN,0,0.233333335,NaN
1/11/2004 6:00,-16.51666667,-18.86666667,6.02,82,1005,14.33333333,NaN,NaN,NaN,0,0.016666667,NaN
1/11/2004 12:00,-19.91666667,-22.73333333,6.02,78.16666667,1005.866667,13,NaN,NaN,NaN,0,0,NaN
1/11/2004 18:00,-22,-25.68333333,6.02,71.83333333,1006.533333,10.33333333,NaN,NaN,NaN,0,0,NaN
1/12/2004 0:00,-22.83333333,-27.88333333,6.02,63.5,1007.433333,7.833333333,NaN,NaN,NaN,0,0,NaN
1/12/2004 6:00,-23.7,-28.53333333,6.02,64.33333333,1007.783333,10.16666667,NaN,NaN,NaN,0,0,NaN
1/12/2004 12:00,-23.96666667,-28.58333333,6.02,66.16666667,1008.283333,8.333333333,NaN,NaN,NaN,0,0,NaN
1/12/2004 18:00,-25.98333333,-29.96666667,6.02,69.33333333,1008.866667,9.333333333,NaN,NaN,NaN,0,0,NaN
1/13/2004 0:00,-27.36666667,-32.46666667,6.02,61.66666667,1010,6.833333333,NaN,NaN,NaN,0,0,NaN
1/13/2004 6:00,-28.41666667,-33.35,6.02,63.16666667,1012.116667,9.833333333,NaN,NaN,NaN,0,0,NaN
1/13/2004 12:00,-28.53333333,-33.93333333,6.02,60.16666667,1014.216667,10.33333333,NaN,NaN,NaN,0,0,NaN
1/13/2004 18:00,-28.11666667,-33.61666667,6.02,59.16666667,1016.15,9.333333333,NaN,NaN,NaN,0,0,NaN
1/14/2004 0:00,-26.33333333,-31.2,6.02,63.66666667,1016.233333,11.33333333,NaN,NaN,NaN,0,0,NaN
1/14/2004 6:00,-22.51666667,-26.85,6.02,67.66666667,1014.733333,13.33333333,NaN,NaN,NaN,0,0,NaN
1/14/2004 12:00,-20.23333333,-25.16666667,6.02,64.83333333,1013.466667,14,NaN,NaN,NaN,0,0,NaN
1/14/2004 18:00,-18.5,-24.85,6.02,57.66666667,1010.633333,14.66666667,NaN,NaN,NaN,0,0,NaN
1/15/2004 0:00,-16.86666667,-21.96666667,6.02,64.66666667,1008.966667,14.66666667,NaN,NaN,NaN,0,0,NaN
1/15/2004 6:00,-16.71666667,-22.15,6.02,63.16666667,1010.366667,14,NaN,NaN,NaN,0,0,NaN
1/15/2004 12:00,-18.06666667,-21.8,6.02,73.16666667,1012.083333,15.66666667,NaN,NaN,NaN,0,0,NaN
1/15/2004 18:00,-19.41666667,-23.2,6.02,72,1013.666667,14.83333333,NaN,NaN,NaN,0,0,NaN
1/16/2004 0:00,-19.96666667,-24.3,6.02,68.83333333,1015.75,16.16666667,NaN,NaN,NaN,0,0,NaN
1/16/2004 6:00,-19.75,-24.55,6.02,66,1018.3,14.66666667,NaN,NaN,NaN,0,0,NaN
1/16/2004 12:00,-21.01666667,-25.16666667,6.02,69.5,1020.9,15.33333333,NaN,NaN,NaN,0,0,NaN
1/16/2004 18:00,-21.81666667,-26.38333333,6.02,67,1022.983333,15,NaN,NaN,NaN,0,0,NaN
1/17/2004 0:00,-21.56666667,-26.68333333,6.02,63.83333333,1024.766667,14.16666667,NaN,NaN,NaN,0,0,NaN
1/17/2004 6:00,-21.01666667,-25.76666667,6.02,65.83333333,1025.95,11.83333333,NaN,NaN,NaN,0,0,NaN
1/17/2004 12:00,-20.58333333,-25.11666667,6.02,67.16666667,1026.55,10.66666667,NaN,NaN,NaN,0,0,NaN
1/17/2004 18:00,-21.15,-24.83333333,6.02,72.5,1026.966667,8.833333333,NaN,NaN,NaN,0,0,NaN
1/18/2004 0:00,-22.11666667,-25.01666667,6.02,77.5,1026.483333,6.5,NaN,NaN,NaN,0,0,NaN
1/18/2004 6:00,-21.9,-24.46666667,6.02,79.5,1025.883333,5,NaN,NaN,NaN,0,0,NaN
1/18/2004 12:00,-21.85,-24.26666667,6.02,80.83333333,1024.95,0.5,NaN,NaN,NaN,0,0,NaN
1/18/2004 18:00,-18.73333333,-20.85,6.02,83.83333333,1022.383333,0.666666667,NaN,NaN,NaN,0,0.083333335,NaN
1/19/2004 0:00,-17.88333333,-19.88333333,6.02,84.33333333,1021.616667,4.333333333,NaN,NaN,NaN,0,0.016666667,NaN
1/19/2004 6:00,-16.96666667,-18.9,6.02,84.66666667,1021,6.166666667,NaN,NaN,NaN,0,0,NaN
1/19/2004 12:00,-13.83333333,-15.55,6.02,86.66666667,1017.533333,3.666666667,NaN,NaN,NaN,0,0.75,NaN
1/19/2004 18:00,-4.85,-5.766666667,6.02,93,1010.833333,5,NaN,NaN,NaN,0,4.15,NaN
1/20/2004 0:00,-3.35,-4.333333333,6.02,92.83333333,1006.15,2.5,NaN,NaN,NaN,0,1.05,NaN
1/20/2004 6:00,-9.433333333,-12.86666667,6.02,76,1006.733333,7.333333333,NaN,NaN,NaN,0,0.05,NaN
1/20/2004 12:00,-12.66666667,-17.15,6.02,69.16666667,1008.05,5.333333333,NaN,NaN,NaN,0,0,NaN
1/20/2004 18:00,-13.13333333,-16.8,6.02,74.16666667,1007.55,1,NaN,NaN,NaN,0,0,NaN
1/21/2004 0:00,-13.25,-18.06666667,6.02,67.33333333,1006.316667,7,NaN,NaN,NaN,0,0,NaN
1/21/2004 6:00,-14.61666667,-19.66666667,6.02,65.5,1005.633333,5.166666667,NaN,NaN,NaN,0,0,NaN
1/21/2004 12:00,-17.81666667,-21.95,6.02,69.83333333,1005.316667,1.333333333,NaN,NaN,NaN,0,0,NaN
1/21/2004 18:00,-19.35,-22.81666667,6.02,74,1004.066667,0,NaN,NaN,NaN,0,0,NaN
1/22/2004 0:00,-18.55,-22.36666667,6.02,72,1000.75,1.333333333,NaN,NaN,NaN,0,0,NaN
1/22/2004 6:00,-16.91666667,-19.75,6.02,78.16666667,994.3,11.66666667,NaN,NaN,NaN,0,0,NaN
1/22/2004 12:00,-17.45,-19.78333333,6.02,82.5,988.1666667,16.66666667,NaN,NaN,NaN,0,0,NaN
1/22/2004 18:00,-17.61666667,-19.91666667,6.02,82.16666667,986.8166667,15,NaN,NaN,NaN,0,0,NaN
1/23/2004 0:00,-17.46666667,-20.45,6.02,78.16666667,989.3333333,13.83333333,NaN,NaN,NaN,0,0,NaN
1/23/2004 6:00,-17.08333333,-21.71666667,6.02,67.16666667,994.7333333,9.333333333,NaN,NaN,NaN,0,0,NaN
1/23/2004 12:00,-17.55,-21.3,6.02,72.83333333,999.6833333,2.166666667,NaN,NaN,NaN,0,0,NaN
1/23/2004 18:00,-16.25,-18.46666667,6.02,83.33333333,1003.35,1.166666667,NaN,NaN,NaN,0,0,NaN
1/24/2004 0:00,-17.01666667,-19.35,6.02,82.16666667,1005.116667,5.833333333,NaN,NaN,NaN,0,0,NaN
1/24/2004 6:00,-16.16666667,-21.6,6.02,63.5,1004.333333,12,NaN,NaN,NaN,0,0,NaN
1/24/2004 12:00,-15.15,-19.48333333,6.02,71.16666667,998.25,12.83333333,NaN,NaN,NaN,0,0,NaN
1/24/2004 18:00,-12.15,-14.05,6.02,85.66666667,992.85,16,NaN,NaN,NaN,0,0,NaN
1/25/2004 0:00,-10.48333333,-12.05,6.02,88.16666667,991.4,12.5,NaN,NaN,NaN,0,0,NaN
1/25/2004 6:00,-10.05,-11.33333333,6.02,90,990.5,9.166666666,NaN,NaN,NaN,0,0.833333335,NaN
1/25/2004 12:00,-10.45,-11.83333333,6.02,89.16666667,988.7666667,8.000000001,NaN,NaN,NaN,0,1.666666667,NaN
1/25/2004 18:00,-13.5,-15.28333333,6.02,86.16666667,990.4666667,5.5,NaN,NaN,NaN,0,0.3,NaN
1/26/2004 0:00,-18.1,-21.45,6.02,75.16666667,994.6833333,7.5,NaN,NaN,NaN,0,0,NaN
1/26/2004 6:00,-18.61666667,-24.55,6.02,60.16666667,996.55,7.333333333,NaN,NaN,NaN,0,0,NaN
1/26/2004 12:00,-19.18333333,-27.4,6.02,48.5,998.9166667,2.666666667,NaN,NaN,NaN,0,0,NaN
1/26/2004 18:00,-18.95,-27.78333333,6.02,46.16666667,1001.483333,0.333333333,NaN,NaN,NaN,0,0,NaN
1/27/2004 0:00,-18.7,-26.35,6.02,51,1004.233333,0.666666667,NaN,NaN,NaN,0,0,NaN
1/27/2004 6:00,-16.43333333,-24,6.02,52.16666667,1005.783333,0.5,NaN,NaN,NaN,0,0,NaN
1/27/2004 12:00,-15.71666667,-23.03333333,6.02,54.16666667,1006.783333,0,NaN,NaN,NaN,0,0,NaN
1/27/2004 18:00,-12.78333333,-20.55,6.02,53,1006.833333,1.833333333,NaN,NaN,NaN,0,0,NaN
1/28/2004 0:00,-10.06666667,-14.01666667,6.02,73.66666667,1004.966667,11.33333333,NaN,NaN,NaN,0,0,NaN
1/28/2004 6:00,-11,-13.98333333,6.02,78.83333333,1003.683333,14.33333333,NaN,NaN,NaN,0,0,NaN
1/28/2004 12:00,-11.55,-14.66666667,6.02,77.5,1004.766667,14.33333333,NaN,NaN,NaN,0,0,NaN
1/28/2004 18:00,-11.25,-14.43333333,6.02,77.83333333,1006.716667,14.5,NaN,NaN,NaN,0,0,NaN
1/29/2004 0:00,-10.93333333,-13.6,6.02,80.66666667,1008.35,14,NaN,NaN,NaN,0,0,NaN
1/29/2004 6:00,-10.68333333,-13.5,6.02,79.66666667,1010.533333,13.5,NaN,NaN,NaN,0,0,NaN
1/29/2004 12:00,-10.61666667,-13.66666667,6.02,78.33333333,1012.2,12.83333333,NaN,NaN,NaN,0,0,NaN
1/29/2004 18:00,-11.1,-14.16666667,6.02,78.5,1012.25,13.16666667,NaN,NaN,NaN,0,0,NaN
1/30/2004 0:00,-11.08333333,-14.21666667,6.02,77.66666667,1011.766667,13.33333333,NaN,NaN,NaN,0,0,NaN
1/30/2004 6:00,-11.25,-14.7,6.02,75.66666667,1011.8,12.16666667,NaN,NaN,NaN,0,0,NaN
1/30/2004 12:00,-11.41666667,-15.05,6.02,74.33333333,1011.816667,10.5,NaN,NaN,NaN,0,0,NaN
1/30/2004 18:00,-11.7,-14.96666667,6.02,76.5,1010.683333,13.5,NaN,NaN,NaN,0,0,NaN
1/31/2004 0:00,-9.483333333,-13.48333333,6.02,72.33333333,1009.883333,11.16666667,NaN,NaN,NaN,0,0,NaN
1/31/2004 6:00,-9.233333333,-13.05,6.02,73.83333333,1008.85,13,NaN,NaN,NaN,0,0,NaN
1/31/2004 12:00,-9.516666667,-12.3,6.02,80.33333333,1007.433333,12.16666667,NaN,NaN,NaN,0,0,NaN
1/31/2004 18:00,-9.266666667,-13.1,6.02,73.66666667,1006.383333,12.83333333,NaN,NaN,NaN,0,0,NaN
2/1/2004 0:00,-8.3,-12.2,6.02,73.5,1005.85,11,NaN,NaN,NaN,0,0,NaN
2/1/2004 6:00,-7.816666667,-11.48333333,6.02,75,1005.883333,7,NaN,NaN,NaN,0,0,NaN
2/1/2004 12:00,-9.25,-11.53333333,6.02,83.33333333,1004.366667,12.5,NaN,NaN,NaN,0,0,NaN
2/1/2004 18:00,-11.51666667,-13.91666667,6.02,82.5,1002.816667,18,NaN,NaN,NaN,0,0,NaN
2/2/2004 0:00,-11.88333333,-16.38333333,6.02,69.33333333,1001.833333,11.5,NaN,NaN,NaN,0,0,NaN
2/2/2004 6:00,-11.18333333,-14.91666667,6.02,74.16666667,1001.283333,12.16666667,NaN,NaN,NaN,0,0,NaN
2/2/2004 12:00,-11.56666667,-14.66666667,6.02,77.5,1003.5,10.33333333,NaN,NaN,NaN,0,0,NaN
2/2/2004 18:00,-12.38333333,-16.21666667,6.02,72.66666667,1005.133333,10.66666667,NaN,NaN,NaN,0,0,NaN
2/3/2004 0:00,-14.03333333,-17.3,6.02,76,1006.616667,6,NaN,NaN,NaN,0,0,NaN
2/3/2004 6:00,-15.63333333,-18.53333333,6.02,78.33333333,1007.7,0.5,NaN,NaN,NaN,0,0,NaN
2/3/2004 12:00,-16.03333333,-19.43333333,6.02,75,1008.516667,2.333333333,NaN,NaN,NaN,0,0,NaN
2/3/2004 18:00,-16.08333333,-19.51666667,6.02,74.83333333,1007.9,2.833333333,NaN,NaN,NaN,0,0,NaN
2/4/2004 0:00,-17.03333333,-19.45,6.02,81.33333333,1006.483333,0.666666667,NaN,NaN,NaN,0,0,NaN
2/4/2004 6:00,-18.45,-22.26666667,6.02,72,1004.783333,0,NaN,NaN,NaN,0,0,NaN
2/4/2004 12:00,-18.61666667,-23.16666667,6.02,67.33333333,1004.233333,0,NaN,NaN,NaN,0,0,NaN
2/4/2004 18:00,-19.18333333,-23.1,6.02,71.33333333,1003.95,2.166666667,NaN,NaN,NaN,0,0,NaN
2/5/2004 0:00,-19.43333333,-23.33333333,6.02,71.16666667,1004,3.166666667,NaN,NaN,NaN,0,0,NaN
2/5/2004 6:00,-17.76666667,-22.06666667,6.02,69,1003.8,9.333333333,NaN,NaN,NaN,0,0,NaN
2/5/2004 12:00,-17.33333333,-21.71666667,6.02,68.83333333,1003.816667,10.33333333,NaN,NaN,NaN,0,0,NaN
2/5/2004 18:00,-17.6,-22.16666667,6.02,67.66666667,1004.366667,12.5,NaN,NaN,NaN,0,0,NaN
2/6/2004 0:00,-17.8,-22.11666667,6.02,69.16666667,1005.066667,13.33333333,NaN,NaN,NaN,0,0,NaN
2/6/2004 6:00,-18.28333333,-22.7,6.02,68.33333333,1006.966667,13.33333333,NaN,NaN,NaN,0,0,NaN
2/6/2004 12:00,-19.31666667,-25.33333333,6.02,59.16666667,1009.05,11.5,NaN,NaN,NaN,0,0,NaN
