allDateTimes,Tmean,Tdew,Tground,RH,AP,u,Rad,Rad_MJm2d,Sunshine,PET,Precipitation_mm_even,Discharge
12/23/2022 00:00,-8.78683333345833,-14.85432638875,-9.21988194441666,62.0514513891667,996.7870277625,6.93800000016667,-0.692659722166667,-0.0598458,NaN,0,0,NaN
12/24/2022 00:00,-10.9557152784583,-16.3479444445833,-9.67868055545833,64.514993055,1004.67770829167,7.3455625,-0.866034722208333,-0.0748254,NaN,0,0,NaN
12/25/2022 00:00,-12.1619930554167,-18.1804374991667,-11.2023472220833,61.0067777779167,1008.54911108333,7.345013888875,-0.86402083325,-0.0746514,NaN,0,0,NaN
12/26/2022 00:00,-9.400493056,-14.7620763889167,-11.1075555541667,65.2497222229166,1001.19096527083,10.8743402781667,-0.385590277791667,-0.033315,NaN,0,0,NaN
12/27/2022 00:00,-1.32811805554167,-3.98061111116667,-8.286833333375,82.4472222216667,990.134875004167,10.1766041670833,-0.396312500041667,-0.0342414,NaN,0,0.199999998,NaN
12/28/2022 00:00,-0.741013888875,-2.43602083333333,-6.96884027766667,89.0342916670833,981.819083329167,4.86693055554167,-0.52897222225,-0.0457032,NaN,0,4.783333333,NaN
12/29/2022 00:00,-2.774895833375,-5.70523611108333,-6.308444444375,80.943125,980.3545555625,9.85059027725,-0.433548611083333,-0.0374586,NaN,0,0.816666665,NaN
12/30/2022 00:00,-4.06329861108333,-8.15941666695833,-6.14923611104167,73.31783333375,988.342520829167,7.081277778125,-0.591923611041667,-0.0511422,NaN,0,0,NaN
12/31/2022 00:00,0.956263888833333,-1.09475,-5.60381944445833,86.5125277766667,983.8377083375,10.9538750000833,-0.447451388958333,-0.0386598,NaN,0,3.066666663,NaN
01/01/2023 00:00,0.947958333291667,-0.0870972222083334,-4.248826388875,92.9755694441667,989.001493058333,13.8045624995833,-0.296062500083333,-0.0255798,NaN,0,5.733333333,NaN
01/02/2023 00:00,0.427861111083333,-0.0571736109583333,-3.25153472220833,96.6675486108334,1000.16014583333,10.0922013890417,-0.297534722125,-0.025707,NaN,0,2.799999998,NaN
01/03/2023 00:00,-0.515777777791667,-2.33436111108333,-3.21300000004167,87.8646597220833,1012.78815970833,5.98280555583333,-0.6964930555,-0.060177,NaN,0,1.4,NaN
01/04/2023 00:00,-0.125527777708333,-0.3045,-3.29143055558333,98.7676805554166,1020.13022216667,3.06688194441667,-0.201541666791667,-0.0174132,NaN,0,12.233333335,NaN
01/05/2023 00:00,-0.0158472223333333,-0.691965277791667,-3.26452777779167,95.36304166625,1022.649979125,2.51518749995833,-0.426499999958333,-0.0368496,NaN,0,0.066666667,NaN
01/06/2023 00:00,-2.34240277783333,-2.98961111120833,-3.259638888875,95.5196111108334,1022.98595141667,2.35454861120833,-0.647902777875,-0.0559788,NaN,0,1.100000004,NaN
01/07/2023 00:00,-1.1401805555,-5.20556944445833,-3.28702777775,74.32191666625,1020.874791625,4.30989583341667,-0.781062500083333,-0.0674838,NaN,0,0,NaN
01/08/2023 00:00,-0.947090277875,-6.1447569445,-3.28156944441667,68.1446249995833,1012.519444375,5.83019444441667,-0.746256944458333,-0.0644766,NaN,0,0,NaN
01/09/2023 00:00,-0.5978055555,-3.39000000004167,-3.2404930555,81.52123611125,999.495187533333,11.2919375004167,-0.359798611041667,-0.0310866,NaN,0,0.499999998,NaN
01/10/2023 00:00,0.5370555555,-2.18425,-3.14184722216667,82.5765347225,989.5593541625,9.122604166625,-0.427937499875,-0.0369738,NaN,0,3.166666663,NaN
01/11/2023 00:00,-2.68865277779167,-4.364673611125,-2.71443055554167,88.42995138875,991.137347216667,2.58306944441667,-0.851513889,-0.0735708,NaN,0,0.533333333,NaN
01/12/2023 00:00,0.194715277916667,-2.82061111104167,-2.659298611125,80.39267361125,986.703027783333,6.47825694454167,-0.615812499958333,-0.0532062,NaN,0,0.283333333,NaN
01/13/2023 00:00,0.309854166583333,-3.97086805566667,-2.64881250004167,73.1476944445833,983.349298604167,6.41920833333333,-0.46890972225,-0.0405138,NaN,0,0.866666669,NaN
01/14/2023 00:00,0.387034722291667,-1.48125694441667,-2.59181249995833,87.47025,985.282527775,9.95152083316667,-0.107493055541667,-0.0092874,NaN,0,4.549999998,NaN
01/15/2023 00:00,-2.28213888895833,-6.65497222225,-2.53416666658333,72.0532777770833,993.530118058333,11.9994999992083,-0.332958333333333,-0.0287676,NaN,0,0.100000002,NaN
01/16/2023 00:00,-4.795229166625,-9.63454861129167,-2.68290277770833,69.0152361108333,994.045659733333,12.131111111625,0.0698958332916667,0.006039,NaN,0,0.200000004,NaN
01/17/2023 00:00,-4.63532638895833,-10.0307222219167,-2.854201388875,66.0439513891667,998.81738195,11.378590278125,-0.406201388875,-0.0350958,NaN,0,0,NaN
01/18/2023 00:00,-5.79680555566667,-11.3056111109583,-2.9960069445,65.1564375004167,1008.05785416667,8.34151388891667,-0.910486111083333,-0.078666,NaN,0,0,NaN
01/19/2023 00:00,-1.79340277770833,-5.55833333320833,-3.108569444375,75.5192430566667,999.814500016666,9.87268750004167,-0.45120138875,-0.0389838,NaN,0,0.866666663,NaN
01/20/2023 00:00,0.102729166708333,-3.32363194441667,-2.950763889,78.31639583375,993.28624305,5.53765277775,-0.734993055583334,-0.0635034,NaN,0,3.049999998,NaN
01/21/2023 00:00,-3.43081250004167,-5.97975,-2.88963888875,82.6670833329166,1005.918993,6.79116666670833,-0.558854166666667,-0.048285,NaN,0,0.883333333,NaN
01/22/2023 00:00,1.48127777766667,0.742277777708333,-2.69838888891667,94.9993819445834,992.321298620833,5.70898611083333,-0.291465277791667,-0.0251826,NaN,0,7.35,NaN
01/23/2023 00:00,-0.118979166625,-1.50187500004167,-1.496111111125,90.9235000008333,972.610812495833,7.174062499875,-0.640625000083333,-0.05535,NaN,0,4.516666661,NaN
01/24/2023 00:00,-3.34863888891667,-5.99620138879167,-1.37761111104167,82.29504166625,976.458666666667,7.84876388895833,-0.546173611083333,-0.0471894,NaN,0,1.21666667,NaN
01/25/2023 00:00,-5.92929861116667,-11.2887708339167,-1.79818749995833,66.1196527770833,989.0719861125,3.91881944441667,-0.947881944458333,-0.081897,NaN,0,0.016666667,NaN
01/26/2023 00:00,-8.95303472195833,-15.03875694375,-2.52940277775,61.5573055558333,999.7660832625,4.984923611,-0.727,-0.0628128,NaN,0,0,NaN
01/27/2023 00:00,-7.18720138904167,-11.291645833625,-3.10170138891667,72.67972916625,991.268659725,12.1979374995833,-0.262284722208333,-0.0226614,NaN,0,0.100000002,NaN
01/28/2023 00:00,-3.1490555555,-7.961236111125,-3.23090972220833,69.6935416666667,980.537555558333,11.2759166672083,-0.286430555583333,-0.0247476,NaN,0,2.4,NaN
01/29/2023 00:00,-1.7105069445,-5.2626944445,-3.12486805558333,76.84229861125,984.370520833333,8.022694444625,-0.498340277708333,-0.0430566,NaN,0,0.083333335,NaN
